CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,633600,2057.680911,3.2476024479166665,46.30850239847107,5.626687643260329,44.43111397865689,121.504418235
1,902400,2929.904954,3.246791837322695,64.00905117117635,5.462116936067889,45.76980004752003,85.333508873
1,1113600,3600.282262,3.233012088721265,71.15508435276807,4.941286816095377,50.59410823627335,69.443903567
1,1401600,4549.838936,3.246175039954338,119.83341042320369,6.584978260075022,37.96519747312754,54.951104511
1,1536000,4988.327314,3.2476089283854166,124.64747882245999,6.247582807364888,40.01547601822748,50.122015033
1,1747200,5674.080799,3.247527929830586,168.9420082198636,7.444478908069908,33.5819340866151,44.06529191
1,1843200,5985.73002,3.2474663736979164,195.51863971168285,8.16675012576903,30.6119320598729,41.769675453
4,1113600,5826.28353,5.231935641163793,216.6072762905952,9.296347831264905,26.892281198775223,42.917984984
4,1401600,7327.295642,5.227807963755708,309.8091459082646,10.573496942081938,23.644022537616078,34.129066497
4,1747200,9138.762977,5.230519103136447,477.62070119662957,13.070460938025926,19.127098974197178,27.365775615
4,1958400,10240.865148,5.229199932598039,576.7839525820832,14.086333671983958,17.747698288392833,24.422201084
4,2150400,11247.58177,5.2304602725074405,684.9738103207727,15.231709600390207,16.413128043984994,22.236922596
4,2208000,11533.493264,5.223502384057971,833.1375849847618,18.0662114856491,13.837987017841986,21.68454744
